notes,Compound.Name,Dino-1314,Green-1545,Archaea-SCM1,Alpha-SA30,Alpha-SA42,Alpha-SA33,Beta-SA59,CFB-SA60,Alpha-SA16,Alpha-SA44,Alpha-SA36,Alpha-SA48,Alpha-SA53,Alpha-SA11,Alpha-DSS-3,Alpha-Och114,Syn-7803,Croco-8501,Syn-8102,Pro-MED4,Pro-1314,Pro-Natl2A,Pro-AS9601,Diatom-To,Hapto-2090,Diatom-Cm,Diatom-Tp,Hapto-371,Diatom-Np,Diatom-Pt,Diatom-Pc55x,Dino-449,Dino-1771,Dino-2021,Chryso-116,Chryso-Ca,Chryso-Cr,Chryso-Cs,Chryso-P3,Green-3430,Gamma-SA55,Gamma-SA7,Diatom-Tp10,Diatom-Tp28,Diatom-Tp35
added to media,Alanine-HILIC,Blk,1,1,1,Blk,1,Blk,Blk,1,Blk,1,Blk,0.666666667,1,Blk,Blk,1,1,1,1,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Aminobenzoic Acid-RP,Blk,0,0.666666667,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,Blk,1,0,0,1,Blk,1,Blk,0,0,0,0,Blk,Blk,0.5,0,0,0,0,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,1,1,1
added to media,Arginine-HILIC,1,1,1,1,1,Blk,1,Blk,Blk,1,1,1,1,Blk,Blk,1,1,1,1,1,0.666666667,Blk,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Asparagine-HILIC,1,1,0,Blk,Blk,Blk,0,Blk,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Aspartic acid-HILIC,1,1,1,Blk,Blk,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,Blk,1,1,1
added to media,Coenzyme B12-RP,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0.666666667,1,0.666666667,0,0,1,1,0,0,0
added to media,Cyano B12-RP,Blk,Blk,1,Blk,Blk,Blk,1,1,Blk,Blk,Blk,Blk,Blk,Blk,1,Blk,0,Blk,0,0,0,0,0,Blk,0,Blk,Blk,0,Blk,1,1,0,0,0,0,0,0,0,0,1,Blk,Blk,0,0,0
added to media,Glutamic acid-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Glutamine-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Histidine-HILIC,Blk,Blk,1,1,Blk,Blk,1,1,Blk,1,1,1,1,Blk,0.666666667,1,1,1,1,1,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
