SITE,BASIN,DISTURB,COLOR
S1,SouthAt,High,blue
S2,MidAt,Moderate,red
S3,MidAt,VHigh,red
S4,MidAt,Low,red
S5,MidAt,Low,red
S6,SouthAt,Moderate,blue
S7,Ohio,VHigh,green
S8,Ohio,High,green
S9,Ohio,Low,green
S10,Ohio,Low,green
S11,Tenness,Low,purple
S12,Tenness,Moderate,purple
S13,MidAt,Moderate,red
S14,MidAt,Low,red
S15,MidAt,High,red
S16,MidAt,VHigh,red
S17,MidAt,High,red
S18,MidAt,Low,red
S19,MidAt,Low,red
S20,MidAt,Low,red
S21,MidAt,Low,red
S22,MidAt,Low,red
S23,MidAt,Moderate,red
S24,SouthAt,Moderate,blue
S25,SouthAt,Low,blue
S26,SouthAt,Low,blue
S27,Ohio,Moderate,green
S28,Ohio,Low,green
S29,Ohio,Low,green
S30,Ohio,Moderate,green
S31,Ohio,High,green
S32,MidAt,High,red
S33,MidAt,VHigh,red
S34,Tenness,Low,purple
S35,SouthAt,Moderate,blue
S36,MidAt,Low,red
S37,Tenness,Low,purple
S38,Ohio,Low,green
S39,MidAt,Moderate,red
S40,Tenness,Low,purple
S41,MidAt,Low,red
S42,MidAt,Low,red
S43,Ohio,High,green
S44,MidAt,Low,red
S45,MidAt,Moderate,red
