Organism,Domain,Group,Sucrose - HILIC,Glycerophosphocholine - HILIC,Propionyl-L-carnitine - HILIC,Indole 3 carboxylic acid - Aq,Ornithine - HILIC,Tryptophol - Aq,Acetyl-L-carnitine - HILIC,Glutathione Disulfide - Aq,Methionine Sulfoxide - HILIC,Citrulline - HILIC,Carnitine - HILIC,Trigonelline - HILIC,Phosphoglyceric Acid - HILIC,Homoserine - HILIC,Stachydrine hydrochloride - HILIC,Methylthioadenosine - Aq,N-Acetyl-Lysine - HILIC,Argininosuccinic Acid - HILIC,DMS-acetate,gonyol,Dimethyl-benzimidazole - Aq,Ethyl 3 aminobenzoate - Aq,Hydroxybutyryl CoA - HILIC,Indole 3 Lactic Acid - Aq,Indole 3 methyl acetate - Aq,Methyl indole 3 carboxylate - Aq,Methyl Malonyl CoA - HILIC,N-acetyltaurine - HILIC,N-methyltaurine - HILIC,Succinyl CoA - HILIC,Sulfoacetic Acid - HILIC,Kinetin - Aq,Amino Propanesulfonic Acid - HILIC,cAMP - HILIC,Hydroxyectoine - HILIC,Hypotaurine - HILIC,p-Coumaric Acid - Aq,Propionyl CoA - HILIC,Shikimic Acid - HILIC,Vanillic Acid - Aq,Methylphosphonic Acid - HILIC,NADH - HILIC,Tryptamine - Aq,GTP - HILIC,Cyclic diGMP - HILIC,Sulfurol - Aq,4-hydroxybenzaldehyde - Aq,Oxalic Acid - HILIC,Desthiobiotin - Aq,Vitamin C - Aq,Isocitric Acid - HILIC,Ectoine - HILIC,Isethionic Acid - HILIC,Sarcosine - HILIC,Coenzyme Q10 - Aq,2iP - Aq,Dimethyl Glycine - HILIC,Sulfolactic - HILIC,Trehalose - HILIC,Orotic Acid - HILIC,ATP - HILIC,Chitobiose - HILIC,DHPS - HILIC,Carotene - Aq,Acetyl CoA - HILIC,Succinic Acid - HILIC,Homarine - HILIC,Indole 3 acetamide - Aq,Cystine - HILIC,Thymidine - HILIC,Uracil - HILIC,trans Hydroxyl proline - HILIC,DHAP - HILIC,Choline - HILIC,IAA - Aq,Gluconic Acid - HILIC,Cystathionine - HILIC,Betaine - HILIC,Glucosylglycerol - HILIC,Pyridoxal - Aq,PEP - HILIC,cGMP - HILIC,Kynurenine - Aq,GMP - HILIC,Taurine - HILIC,glycerol 3 phosphate - HILIC,DMSP - HILIC,Aminobutyric Acid - HILIC,Cytidine - HILIC,Xanthine - Aq,Adenine - HILIC,ADP - HILIC,Fumaric Acid - HILIC,Picolinic Acid - HILIC,Malic Acid - HILIC,NADP - HILIC,Aconitic Acid - HILIC,Ribose 5 phosphate - HILIC,Glucose 6 phosphate - HILIC,Thymine - HILIC,Adenosine - HILIC,Citric Acid - HILIC,Cysteic Acid - HILIC,Fructose 6 phosphate - HILIC,Ketoglutaric Acid - HILIC,AMP - HILIC,FAD - HILIC,Glutathione Disulfide - HILIC,UDP-glucosamine - HILIC,Uridine - HILIC,Guanine - HILIC,Glutathione - Aq,UDP-glucose - HILIC,NAD - HILIC,Pyridoxal Phosphate - Aq,Adenosyl Homocysteine - HILIC,Adenosyl Methionine - HILIC,Guanosine - HILIC
X1314,Eukaryote,Dino,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X1545,Eukaryote,Green,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St,Archaea,Archaea,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
Exp,Archaea,Archaea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
SA30,Bacteria,Heterotroph,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SA42,Bacteria,Heterotroph,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
SA33,Bacteria,Heterotroph,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SA59,Bacteria,Heterotroph,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
SA60,Bacteria,Heterotroph,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
SA16,Bacteria,Heterotroph,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
